CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-17 00:00,15,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-18 00:00,19,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-19 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-20 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-21 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-22 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-23 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-24 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-25 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-26 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-27 00:00,0,50,,900
21030080,ACEVEDO [21030080],1.8136111110,-75.94222222,1350,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 04 - Huila-Caquetá,Huila,Acevedo,15/03/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2023-02-28 00:00,10,50,,900
